"","gender","ethnicity","readKindergarten","read1","mathKindergarten","math1","school1","degreek"
"22199","male","cauc",416,482,468,535,"suburban","bachelor"
"116608","male","afam",.,519,.,505,"rural",.
"114192","male","afam",440,477,444,515,"inner-city","bachelor"
"116800","female","cauc",.,544,.,578,"rural",.
"160859","male","cauc",.,460,.,515,"rural",.
"119920","female","cauc",445,.,536,538,"rural","bachelor"
"2872","female","hispanic",.,.,.,.,.,.
"44233","female","afam",437,.,463,.,.,"bachelor"
"124652","male","afam",.,.,.,.,.,.
"96497","male","cauc",413,.,439,.,.,"master"
"129740","male","cauc",.,.,.,.,.,.
"102172","female","cauc",.,.,.,.,.,.
"53513","female","cauc",421,590,473,529,"suburban","bachelor"
"172315","female","cauc",427,454,444,479,"rural","bachelor"
"55288","female","cauc",.,.,.,.,.,.
"156331","male","cauc",451,474,473,502,"suburban","master+"
"54158","female","cauc",.,.,.,.,.,.
"50561","female","afam",430,.,473,.,.,"bachelor"
"35709","male","cauc",478,604,520,578,"suburban","master"
"44119","female","cauc",.,.,.,.,.,"master"
"59756","female","cauc",428,.,449,.,.,"master"
"57182","female","afam",408,.,439,.,.,"bachelor"
"30571","female","cauc",433,564,478,545,"rural","bachelor"
"8503","male","cauc",.,.,.,.,.,.
"41626","female","cauc",.,.,.,.,.,.
"151259","male","cauc",442,590,454,526,"rural","bachelor"
"98471","female","cauc",518,604,506,627,"rural","master"
"170489","male","cauc",447,553,489,601,"rural","master"
"155046","male","cauc",.,651,.,653,"rural",.
"9575","female","afam",.,.,.,.,.,.
"85569","male","cauc",.,.,.,512,"rural",.
"50188","female","afam",472,524,602,578,"inner-city","bachelor"
"57483","male","afam",.,.,.,.,.,.
"95020","male","afam",483,536,520,549,"inner-city","bachelor"
"34617","female","cauc",.,507,.,515,"rural",.
"141693","female","cauc",.,.,.,.,.,.
"38332","female","cauc",430,579,494,529,"rural","master"
"48985","female","cauc",495,579,528,542,"rural","bachelor"
"184670","female","afam",.,540,.,535,"inner-city","bachelor"
"150476","female","afam",405,442,429,463,"inner-city","master+"
"103473","male","afam",456,590,468,553,"inner-city","bachelor"
"120671","male","cauc",450,571,559,572,"suburban","master+"
"58759","female","cauc",.,571,.,529,"suburban",.
"116105","female","afam",.,.,.,.,.,.
"62075","female","afam",430,503,449,486,"inner-city","bachelor"
"93937","male","afam",.,.,.,.,.,"bachelor"
"126282","female","afam",.,.,.,.,.,.
"90783","female","afam",495,501,576,557,"suburban","master"
"46184","male","afam",428,.,506,.,.,"master"
"142587","male","cauc",.,.,.,.,.,.
"14749","female","cauc",.,.,.,.,.,.
"58310","female","cauc",.,.,.,.,.,.
"133639","female","afam",.,533,.,518,"inner-city",.
"94330","male","afam",428,536,454,535,"rural","master"
"29369","male","cauc",418,540,468,549,"rural","master"
"94204","male","cauc",437,.,468,.,.,"bachelor"
"92369","female","cauc",.,.,.,.,.,.
"139857","female","cauc",.,.,.,.,.,.
"33358","male","cauc",450,490,494,532,"urban","bachelor"
"157787","male","cauc",.,.,.,.,.,.
"160811","male",.,.,.,.,.,.,.
"8826","male","cauc",472,.,528,.,.,"bachelor"
"59659","female","cauc",.,.,.,.,.,.
"3645","male","cauc",436,544,459,532,"rural","master"
"45210","female","cauc",.,.,.,.,"rural",.
"131511","male","afam",.,521,.,523,"suburban",.
"57950","female","cauc",.,.,.,.,.,.
"94968","female","cauc",.,.,.,.,.,.
"10631","male","cauc",418,446,429,521,"suburban","bachelor"
"105279","male","cauc",418,501,489,578,"rural","bachelor"
"23518","female","afam",.,483,.,526,"inner-city",.
"165825","male","cauc",439,579,478,553,"suburban","bachelor"
"3801","male","afam",418,499,473,500,"inner-city","master"
"145543","female","afam",447,536,459,507,"urban","bachelor"
"17691","male","cauc",463,564,559,584,"rural","bachelor"
"96856","female","cauc",.,.,.,584,"rural",.
"71964","male","afam",.,425,.,468,"inner-city",.
"14033","female","cauc",.,553,.,578,"urban",.
"60202","male","afam",440,519,439,477,"inner-city","bachelor"
"124351","female","cauc",427,.,520,.,.,"bachelor"
"171882","male","cauc",455,590,494,523,"rural","bachelor"
"88090","male","cauc",430,590,489,529,"rural","bachelor"
"27387","female","afam",405,.,375,.,.,"bachelor"
"101416","male","afam",.,.,.,.,.,.
"37248","male","afam",.,.,.,.,.,.
"166681","male","afam",.,478,.,488,"inner-city",.
"72857","male","cauc",.,536,.,538,"suburban",.
"58365","male","cauc",455,553,489,572,"suburban","master+"
"186370","male",.,.,.,.,.,"rural",.
"166189","male","cauc",410,466,384,505,"rural","bachelor"
"31744","female","cauc",.,.,.,.,.,.
"166938","female","afam",.,430,.,456,"inner-city",.
"25783","male","cauc",448,604,528,627,"suburban","bachelor"
"25339","male","cauc",.,516,.,454,"urban",.
"20496","female","afam",.,.,.,.,.,.
"95291","male","cauc",.,463,.,512,"urban",.
"56352","male","cauc",428,.,444,.,.,"bachelor"
"6030","male","cauc",.,.,.,.,.,.
"58075","male","afam",430,474,473,502,"rural","master"
"137679","female","cauc",.,.,.,.,.,"master"
